step,firm_id,sector,production,emissions,intensity,cash,credits_owned
1,Firm_IR69,Iron & Steel,109847.0,233124.7797164418,,99229727.35661525,0.0
1,Firm_FE87,Fertilizer,60016.0,34056.447463146455,,48390658.71826063,0.0
1,Firm_AL20,Aluminium,82043.0,133448.52080601646,,49676224.184021816,0.0
1,Firm_PO127,Power,195409.0,163259.42190318584,,118221589.9505222,0.0
1,Firm_PO128,Power,198014.0,172445.91960048192,,102719379.24084672,0.0
1,Firm_PO134,Power,193369.0,166949.3837268168,,139670466.30001098,0.0
1,Firm_CE04,Cement,92185.0,85648.47528502459,,67027745.91291446,0.0
1,Firm_AL22,Aluminium,89065.0,136570.45328652006,,48188478.3207196,0.0
1,Firm_PU40,Pulp & Paper,43072.0,18503.3740885392,,39951399.73286983,0.0
1,Firm_PO133,Power,178151.0,141323.50439395927,,137785409.26304463,0.0
1,Firm_PE110,Petrochemicals,88635.0,47584.15627626988,,33244057.241161928,0.0
1,Firm_IR70,Iron & Steel,145272.0,298628.0926425333,,86521497.04417673,0.0
1,Firm_IR67,Iron & Steel,119342.0,226071.560030912,,105247186.12593453,0.0
1,Firm_PU32,Pulp & Paper,46168.0,19128.703669621023,,37589064.31418923,0.0
1,Firm_CE10,Cement,111065.0,103509.09459882024,,57712361.06236298,0.0
1,Firm_AL26,Aluminium,76970.0,135690.3548595393,,73396387.21233828,0.0
1,Firm_PE105,Petroleum Refining,100964.0,91202.91925646062,,81172387.09965006,0.0
1,Firm_PE95,Petroleum Refining,101154.0,96062.77550389868,,59561232.260523096,0.0
1,Firm_AL30,Aluminium,86907.0,134974.40367361245,,80580269.09472547,0.0
1,Firm_FE89,Fertilizer,73279.0,40421.60026151724,,45095937.04679251,0.0
1,Firm_PE102,Petroleum Refining,99203.0,99866.21131583943,,81437221.92331894,0.0
1,Firm_CE12,Cement,83436.0,70732.54910663527,,40802533.30309449,0.0
1,Firm_CE05,Cement,115222.0,101245.91855844903,,35494711.67391031,0.0
1,Firm_PE109,Petrochemicals,83259.0,44770.35799638677,,40505666.02639287,0.0
1,Firm_CH55,Chlor-Alkali,67602.0,47945.68383583261,,32470461.523250908,0.0
1,Firm_PU39,Pulp & Paper,51473.0,21048.150708842208,,42885421.69918683,0.0
1,Firm_CH60,Chlor-Alkali,50988.0,36082.68150987572,,30752332.749502204,0.0
1,Firm_PU37,Pulp & Paper,48389.0,21058.242930362598,,37530811.33138035,0.0
1,Firm_IR72,Iron & Steel,121592.0,261216.26141336325,,98755630.552981,0.0
1,Firm_FE78,Fertilizer,71543.0,36424.21339154582,,29563585.885591384,0.0
1,Firm_PU34,Pulp & Paper,53746.0,22954.196656002503,,46536775.443153456,0.0
1,Firm_PU42,Pulp & Paper,42717.0,16029.76858908719,,42202539.58235017,0.0
1,Firm_CH59,Chlor-Alkali,61296.0,38436.84155908874,,56856396.669918895,0.0
1,Firm_PE94,Petroleum Refining,108313.0,110845.0544782076,,85324034.67841387,0.0
1,Firm_PE96,Petroleum Refining,91283.0,86652.36064779133,,49468766.79546081,0.0
1,Firm_CE02,Cement,82747.0,68455.06338599393,,36394129.08846912,0.0
1,Firm_IR73,Iron & Steel,112178.0,219355.468273722,,78402531.5213563,0.0
1,Firm_CH48,Chlor-Alkali,51762.0,35943.473576005905,,28562648.04414624,0.0
1,Firm_PE106,Petrochemicals,76089.0,36636.24165779721,,36579637.685057,0.0
1,Firm_FE84,Fertilizer,73828.0,42885.48730138869,,37746116.42455895,0.0
1,Firm_PE108,Petrochemicals,80075.0,43895.50303628448,,40924210.08343872,0.0
